cID,name,inchi,mp,bp,sID,filename,state,state_original,resolution,spectrometer,original_spectrum,collection,origin,owner,source_reference,nist_source,date
C1131186,"1H-Pyrazol-5-amine, 3-methyl-1-phenyl-","InChI=1S/C10H11N3/c1-8-7-10(11)13(12-8)9-5-3-2-4-6-9/h2-7H,11H2,1H3",,,0,C1131186_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C113121554,"Imidazole, 5(4)-(methylthio)-4(5)-nitro-","InChI=1S/C4H5N3O2S/c1-10-4-3(7(8)9)5-2-6-4/h2H,1H3,(H,5,6)",,,0,C113121554_IR_0.jdx,solid,SOLID (0.9 mg / 650 mg KBr DISC),2,PERKIN-ELMER 21 (GRATING),cob6856,COBLENTZ III,SOUTHERN RESEARCH INSTITUTE,Copyright (C) 1987 by the Coblentz Society Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 6856,COBLENTZ,1956/07/09
C1131608,"Phenol, 4-cyclohexyl-","InChI=1S/C12H16O/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h6-10,13H,1-5H2",,,0,C1131608_IR_0.jdx,gas,gas,,,,,Sadtler Research Labs Under US-EPA Contract,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1131620,"Ethanone, 1-(3,4-dimethoxyphenyl)-","InChI=1S/C10H12O3/c1-7(11)8-4-5-9(12-2)10(6-8)13-3/h4-6H,1-3H3",,,0,C1131620_IR_0.jdx,gas,gas,,,,,Sadtler Research Labs Under US-EPA Contract,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C113170711,4-Amino-3-bromo-5-nitrobenzotrifluoride,"InChI=1S/C7H4BrF3N2O2/c8-4-1-3(7(9,10)11)2-5(6(4)12)13(14)15/h1-2H,12H2",,,0,C113170711_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1132054,"Acetophenone, 3'-allyl-4'-hydroxy-","InChI=1S/C11H12O2/c1-3-4-10-7-9(8(2)12)5-6-11(10)13/h3,5-7,13H,1,4H2,2H3",,,0,C1132054_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C113211942,"2,3-Difluorobenzyl bromide","InChI=1S/C7H5BrF2/c8-4-5-2-1-3-6(9)7(5)10/h1-3H,4H2",,,0,C113211942_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C113222745,"1,2,3,4-Tetrahydro-1-(3'-hydroxy-4'-methoxybenzyl)-9-pyrid[3,4,b]indole hydrochloride","InChI=1S/C19H20N2O2.ClH/c1-23-18-7-6-12(11-17(18)22)10-16-19-14(8-9-20-16)13-4-2-3-5-15(13)21-19;/h2-7,11,16,20-22H,8-10H2,1H3;1H",,,0,C113222745_IR_0.jdx,solid,SOLID (NUJOL MULL),4,PERKIN-ELMER,cob3515,COBLENTZ,ABBOTT LABORATORIES - WASHBURN,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 3515,COBLENTZ,"Not specified, most likely prior to 1970"
C1132667,"Benzene, (hexyloxy)-","InChI=1S/C12H18O/c1-2-3-4-8-11-13-12-9-6-5-7-10-12/h5-7,9-10H,2-4,8,11H2,1H3",,,0,C1132667_IR_0.jdx,solution,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob1778,COBLENTZ,DOW CHEMICAL COMPANY,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 1778,COBLENTZ,"Not specified, most likely prior to 1970"
C1133808,"9H-Fluorene, 2-bromo-","InChI=1S/C13H9Br/c14-11-5-6-13-10(8-11)7-9-3-1-2-4-12(9)13/h1-6,8H,7H2",,,0,C1133808_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C113382,Estradiol dipropionate,"InChI=1S/C24H32O4/c1-4-22(25)27-16-7-9-17-15(14-16)6-8-19-18(17)12-13-24(3)20(19)10-11-21(24)28-23(26)5-2/h7,9,14,18-21H,4-6,8,10-13H2,1-3H3/t18-,19-,20+,21+,24+/m0/s1",,,0,C113382_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C113382,Estradiol dipropionate,"InChI=1S/C24H32O4/c1-4-22(25)27-16-7-9-17-15(14-16)6-8-19-18(17)12-13-24(3)20(19)10-11-21(24)28-23(26)5-2/h7,9,14,18-21H,4-6,8,10-13H2,1-3H3/t18-,19-,20+,21+,24+/m0/s1",,,1,C113382_IR_1.jdx,solid,SOLID (0.9 mg / 200 mg KBr DISC),2,PERKIN-ELMER 21 (GRATING),cob5049,COBLENTZ III,,COBLENTZ SOC. Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 05049,COBLENTZ,1962/04/26
C1134232,Cycloate,"InChI=1S/C11H21NOS/c1-3-12(11(13)14-4-2)10-8-6-5-7-9-10/h10H,3-9H2,1-2H3",,,0,C1134232_IR_0.jdx,gas,gas,,HP-GC/MS/IRD,,,NIST Mass Spectrometry Data Center,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1134356,"2,2'-Bipyridine, 4,4'-dimethyl-","InChI=1S/C12H12N2/c1-9-3-5-13-11(7-9)12-8-10(2)4-6-14-12/h3-8H,1-2H3",,,0,C1134356_IR_0.jdx,gas,gas,,HP-GC/MS/IRD,,,NIST Mass Spectrometry Data Center,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C113451,Methylphenidate,"InChI=1S/C14H19NO2/c1-17-14(16)13(11-7-3-2-4-8-11)12-9-5-6-10-15-12/h2-4,7-8,12-13,15H,5-6,9-10H2,1H3",,,0,C113451_IR_0.jdx,gas,gas,,HP-GC/MS/IRD,,,NIST Mass Spectrometry Data Center,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C113484,"N-(2-Ethylhexyl)-5-norbornene-2,3-dicarboximide","InChI=1S/C17H25NO2/c1-3-5-6-11(4-2)10-18-16(19)14-12-7-8-13(9-12)15(14)17(18)20/h7-8,11-15H,3-6,9-10H2,1-2H3",,,0,C113484_IR_0.jdx,gas,gas,,HP-GC/MS/IRD,,,NIST Mass Spectrometry Data Center,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1134878,"2,4-Pentanedione, 3-(phenylmethyl)-","InChI=1S/C12H14O2/c1-9(13)12(10(2)14)8-11-6-4-3-5-7-11/h3-7,12H,8H2,1-2H3",,114 C AT 1.8 mmHg,0,C1134878_IR_0.jdx,liquid,LIQUID (NEAT),2,PERKIN-ELMER 421 (GRATING),cob9847,COBLENTZ III,ABBOTT LABORATORIES,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 9847,COBLENTZ,1964/04/01
C1134878,"2,4-Pentanedione, 3-(phenylmethyl)-","InChI=1S/C12H14O2/c1-9(13)12(10(2)14)8-11-6-4-3-5-7-11/h3-7,12H,8H2,1-2H3",,114 C AT 1.8 mmHg,1,C1134878_IR_1.jdx,solution,SOLUTION (7% CHCl3 FOR 2.5-15 MICRON) VS SOLVENT,2,PERKIN-ELMER 421 (GRATING),cob9848,COBLENTZ III,ABBOTT LABORATORIES,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 9848,COBLENTZ,1964/04/01
C113504931,"3,4-Methylenedioxyphenyl isothiocyanate","InChI=1S/C8H5NO2S/c12-4-9-6-1-2-7-8(3-6)11-5-10-7/h1-3H,5H2",,,0,C113504931_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C113520,"5-(3-Dimethylaminopropyl)-10,11-dihydro-5h-dibenz-[b,f]-azepine, hydrochloride","InChI=1S/C19H24N2.ClH/c1-20(2)14-7-15-21-18-10-5-3-8-16(18)12-13-17-9-4-6-11-19(17)21;/h3-6,8-11H,7,12-15H2,1-2H3;1H",,,0,C113520_IR_0.jdx,solid,SOLID (KBr DISC),2,"Not specified, most likely a prism spectrometer.",cob9121,COBLENTZ,SMITH KLINE & FRENCH LABS.,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 9121,COBLENTZ,1959/05/07
C1135235,β-(4-Hydroxy-3-methoxyphenyl)propionic acid,"InChI=1S/C10H12O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)",,,0,C1135235_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1135246,"2-Propenoic acid, 3-(4-hydroxy-3-methoxyphenyl)-","InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)",,,0,C1135246_IR_0.jdx,solid,SOLID (0.9 mg / 260 mg KBr DISC) VS SCREEN,2,CARY 90 (GRATING),cob7277,COBLENTZ III,WESTERN REGIONAL RES. USDA,Copyright (C) 1987 by the Coblentz Society Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 7277,COBLENTZ,1965/10/18
C1135246,"2-Propenoic acid, 3-(4-hydroxy-3-methoxyphenyl)-","InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)",,,1,C1135246_IR_1.jdx,solid,SOLID (OIL MULL),2,CARY 90 (GRATING),cob7278,COBLENTZ III,WESTERN REGIONAL RES. USDA,Copyright (C) 1987 by the Coblentz Society Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 7278,COBLENTZ,1965/10/18
C1135246,"2-Propenoic acid, 3-(4-hydroxy-3-methoxyphenyl)-","InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)",,,2,C1135246_IR_2.jdx,solid,SOLID (KBr DISC),2,BECKMAN IR-4 (HYBRID PRISM-GRATING),cob9961,COBLENTZ III,UNIVERSITY OF FLORIDA,Copyright (C) 1987 by the Coblentz Society Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 9961,COBLENTZ,1964/06/22
C113571156,"4,6-Dibromo-2,3-dichloroaniline","InChI=1S/C6H3Br2Cl2N/c7-2-1-3(8)6(11)5(10)4(2)9/h1H,11H2",,,0,C113571156_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C113597,Chlorprothixene,"InChI=1S/C18H18ClNS/c1-20(2)11-5-7-14-15-6-3-4-8-17(15)21-18-10-9-13(19)12-16(14)18/h3-4,6-10,12H,5,11H2,1-2H3/b14-7+",,,0,C113597_IR_0.jdx,gas,gas,,HP-GC/MS/IRD,,,NIST Mass Spectrometry Data Center,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1135995,Diphenyltin dichloride,InChI=1S/2C6H5.2ClH.Sn/c2*1-2-4-6-5-3-1;;;/h2*1-5H;2*1H;/q;;;;+2/p-2,42 C,,0,C1135995_IR_0.jdx,solution,"SOLUTION (11% CCl4 FOR 3800-1300, 10% CS2 FOR 1300-650, AND 11% CCl4 FOR 650-250)",2,PERKIN-ELMER 521 (GRATING),cob5577,COBLENTZ III,DOW CORNING CORP.,Copyright (C) 1987 by the Coblentz Society Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 5577,COBLENTZ,1966/05/04
C1136863,"Ethanone, 1-(3,4,5-trimethoxyphenyl)-","InChI=1S/C11H14O4/c1-7(12)8-5-9(13-2)11(15-4)10(6-8)14-3/h5-6H,1-4H3",,,0,C1136863_IR_0.jdx,gas,gas,,,,,Sadtler Research Labs Under US-EPA Contract,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1137413,"Methanone, (4-aminophenyl)phenyl-","InChI=1S/C13H11NO/c14-12-8-6-11(7-9-12)13(15)10-4-2-1-3-5-10/h1-9H,14H2",,,0,C1137413_IR_0.jdx,,,,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob1232,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 1232,COBLENTZ,"Not specified, most likely prior to 1970"
C1137413,"Methanone, (4-aminophenyl)phenyl-","InChI=1S/C13H11NO/c14-12-8-6-11(7-9-12)13(15)10-4-2-1-3-5-10/h1-9H,14H2",,,1,C1137413_IR_1.jdx,solid,SOLID (0.8 mg / 300 mg KBr DISC),2,PERKIN-ELMER 180 (GRATING),cob9014,COBLENTZ II,K. K. DEB-NCI FREDERICK CANCER RESEARCH CENTER,Copyright (C) 1987 by the Coblentz Society Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 9014,COBLENTZ,1973/08/30
C1137424,"Methanone, (4-hydroxyphenyl)phenyl-","InChI=1S/C13H10O2/c14-12-8-6-11(7-9-12)13(15)10-4-2-1-3-5-10/h1-9,14H",,,0,C1137424_IR_0.jdx,gas,gas,,HP-GC/MS/IRD,,,NIST Mass Spectrometry Data Center,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1137731,N-Phenyliminodiacetic acid,"InChI=1S/C10H11NO4/c12-9(13)6-11(7-10(14)15)8-4-2-1-3-5-8/h1-5H,6-7H2,(H,12,13)(H,14,15)",,,0,C1137731_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C113798746,"2,3,6-Trifluorophenol","InChI=1S/C6H3F3O/c7-3-1-2-4(8)6(10)5(3)9/h1-2,10H",,,0,C113798746_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1138529,"Phenol, 3,5-bis(1,1-dimethylethyl)-","InChI=1S/C14H22O/c1-13(2,3)10-7-11(14(4,5)6)9-12(15)8-10/h7-9,15H,1-6H3",,,0,C1138529_IR_0.jdx,gas,gas,,,,,Sadtler Research Labs Under US-EPA Contract,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1138563,4-(n-Butoxy)benzenesulfonyl chloride,"InChI=1S/C10H13ClO3S/c1-2-3-8-14-9-4-6-10(7-5-9)15(11,12)13/h4-7H,2-3,8H2,1H3",,,0,C1138563_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1140143,"2,4-Dimethylbenzophenone","InChI=1S/C15H14O/c1-11-8-9-14(12(2)10-11)15(16)13-6-4-3-5-7-13/h3-10H,1-2H3",,,0,C1140143_IR_0.jdx,liquid,LIQUID (NEAT),2,PERKIN-ELMER 180 (GRATING),cob9010,COBLENTZ II,K. K. DEB-NCI FREDERICK CANCER RESEARCH CENTER,Copyright (C) 1987 by the Coblentz Society Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 9010,COBLENTZ,1973/07/25
C1140143,"2,4-Dimethylbenzophenone","InChI=1S/C15H14O/c1-11-8-9-14(12(2)10-11)15(16)13-6-4-3-5-7-13/h3-10H,1-2H3",,,1,C1140143_IR_1.jdx,solution,"SOLUTION (8.8% CCl4 FOR 3800-1330, 10% CS2 FOR 1330-400 CM^-^1)",2,DOW KBr FOREPRISM-GRATING,cob9175,COBLENTZ III,DOW CHEMICAL COMPANY,COPYRIGHT (C) 1988 by COBLENTZ SOCIETY INC. Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 9175,COBLENTZ,1964/05/28
C1141066,α-Pyridoin,"InChI=1S/C12H10N2O2/c15-11(9-5-1-3-7-13-9)12(16)10-6-2-4-8-14-10/h1-8,11,15H",,,0,C1141066_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1141066,α-Pyridoin,"InChI=1S/C12H10N2O2/c15-11(9-5-1-3-7-13-9)12(16)10-6-2-4-8-14-10/h1-8,11,15H",,,1,C1141066_IR_1.jdx,solid,SOLID (NUJOL MULL),2,BAIRD (GRATING),cob6667,COBLENTZ III,DOW CHEMICAL COMPANY,COBLENTZ SOC. Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 06667,COBLENTZ,1954/02/03
C114133845,"O-(2,4,6-trichlorophenyl)-n-methylamido-n-ethylamidothiophosphate","InChI=1S/C9H12Cl3N2OPS/c1-3-14-16(17,13-2)15-9-7(11)4-6(10)5-8(9)12/h4-5H,3H2,1-2H3,(H2,13,14,17)",,,0,C114133845_IR_0.jdx,solution,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob1875,COBLENTZ,DOW CHEMICAL COMPANY,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 1875,COBLENTZ,"Not specified, most likely prior to 1970"
C1141373,"p-N,N-Bis(2-chloroethyl)aminobenzoic acid","InChI=1S/C11H13Cl2NO2/c12-5-7-14(8-6-13)10-3-1-9(2-4-10)11(15)16/h1-4H,5-8H2,(H,15,16)",,,0,C1141373_IR_0.jdx,gas,gas,,HP-GC/MS/IRD,,,NIST Mass Spectrometry Data Center,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1141453,3-(2-Naphthylthio)propionic acid,"InChI=1S/C13H12O2S/c14-13(15)7-8-16-12-6-5-10-3-1-2-4-11(10)9-12/h1-6,9H,7-8H2,(H,14,15)",,,0,C1141453_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C114152191,"2,3,6-Trifluorobenzyl alcohol","InChI=1S/C7H5F3O/c8-5-1-2-6(9)7(10)4(5)3-11/h1-2,11H,3H2",,,0,C114152191_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C114165218,"Diethylene glycol bis(2,2,3-trichloropropionate)","InChI=1S/C10H12Cl6O5/c11-5-9(13,14)7(17)20-3-1-19-2-4-21-8(18)10(15,16)6-12/h1-6H2",,,0,C114165218_IR_0.jdx,solution,"SOLUTION (10% CCl4 FOR 2.5-7.5, 10% CS2 FOR 7.5-16 MICRON)",4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob954,COBLENTZ,DOW CHEMICAL COMPANY,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 954,COBLENTZ,1960
C1141884,Bis(o-aminophenyl) disulfide,"InChI=1S/C12H12N2S2/c13-9-5-1-3-7-11(9)15-16-12-8-4-2-6-10(12)14/h1-8H,13-14H2",,,0,C1141884_IR_0.jdx,gas,gas,,HP-GC/MS/IRD,,,NIST Mass Spectrometry Data Center,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C114205742,"5-Benzylmercapto-1,3,4-thiadiazolidone-2-azine","InChI=1S/C18H16N6S4/c1-3-7-13(8-4-1)11-25-17-23-21-15(27-17)19-20-16-22-24-18(28-16)26-12-14-9-5-2-6-10-14/h1-10H,11-12H2,(H,19,21)(H,20,22)",,,0,C114205742_IR_0.jdx,solid,SOLID (KBr PELLET),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob3632,COBLENTZ,NORBERT PETRI,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 3632,COBLENTZ,"Not specified, most likely prior to 1970"
C1142194,"Disulfide, bis(4-chlorophenyl)",InChI=1S/C12H8Cl2S2/c13-9-1-5-11(6-2-9)15-16-12-7-3-10(14)4-8-12/h1-8H,,,0,C1142194_IR_0.jdx,gas,gas,,HP-GC/MS/IRD,,,NIST Mass Spectrometry Data Center,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C114223302,"1,1-Bis(ethylsulfonyl) ethylene","InChI=1S/C6H12O4S2/c1-4-11(7,8)6(3)12(9,10)5-2/h3-5H2,1-2H3",,,0,C114223302_IR_0.jdx,solid,SOLID (MINERAL OIL MULL),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob3227,COBLENTZ,DOW CHEMICAL COMPANY,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 3227,COBLENTZ,"Not specified, most likely prior to 1970"
C1142398,4-(Hexyloxy)benzoic acid,"InChI=1S/C13H18O3/c1-2-3-4-5-10-16-12-8-6-11(7-9-12)13(14)15/h6-9H,2-5,10H2,1H3,(H,14,15)",,,0,C1142398_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C114261,Propoxur,"InChI=1S/C11H15NO3/c1-8(2)14-9-6-4-5-7-10(9)15-11(13)12-3/h4-8H,1-3H3,(H,12,13)",,,0,C114261_IR_0.jdx,gas,gas,,HP-GC/MS/IRD,,,NIST Mass Spectrometry Data Center,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C1142978,"Benzenesulfonothioic acid, 4-chloro-, S-phenyl ester","InChI=1S/C12H9ClO2S2/c13-10-6-8-12(9-7-10)17(14,15)16-11-4-2-1-3-5-11/h1-9H",,,0,C1142978_IR_0.jdx,solution,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob2285,COBLENTZ,DOW CHEMICAL COMPANY,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 2285,COBLENTZ,"Not specified, most likely prior to 1970"
C114328802,"N,n-dimethyl-p-methyl phosphonamidic acid, n-pentyl ester","InChI=1S/C8H20NO2P/c1-5-6-7-8-11-12(4,10)9(2)3/h5-8H2,1-4H3",,91 C AT 1 mmHg,0,C114328802_IR_0.jdx,liquid,LIQUID,4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob2517,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 2517,COBLENTZ,"Not specified, most likely prior to 1970"
C1143380,Anthralin,"InChI=1S/C14H10O3/c15-10-5-1-3-8-7-9-4-2-6-11(16)13(9)14(17)12(8)10/h1-6,15-16H,7H2",,,0,C1143380_IR_0.jdx,gas,gas,,HP-GC/MS/IRD,,,NIST Mass Spectrometry Data Center,NIST Standard Reference Data Program Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
C114383243,"3-Acetyl-5-benzylmercapto-1,3,4-thiadiazolidone-2-azine","InChI=1S/C22H20N6O2S4/c1-15(29)27-19(33-21(25-27)31-13-17-9-5-3-6-10-17)23-24-20-28(16(2)30)26-22(34-20)32-14-18-11-7-4-8-12-18/h3-12H,13-14H2,1-2H3",,,0,C114383243_IR_0.jdx,solid,SOLID (KBr PELLET),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob3638,COBLENTZ,NORBERT PETRI,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 3638,COBLENTZ,"Not specified, most likely prior to 1970"
C1144747,"Methanone, (4-nitrophenyl)phenyl-",InChI=1S/C13H9NO3/c15-13(10-4-2-1-3-5-10)11-6-8-12(9-7-11)14(16)17/h1-9H,,,0,C1144747_IR_0.jdx,gas,gas,,,,,EPA-IR VAPOR PHASE LIBRARY,SRD/NIST Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,,MSDC-IR,
